title,culture/people,media/materials,object type,place,collection history,image
Axe head/Votive axe,probably Chican Ostionoid (Chicoid) (archaeological culture) (attributed)  ,"Pecked, ground, carved",Ceremonial/Ritual items,Haiti,"Collection history unknown; offered for sale at a 1927 auction of pre-Columbian art held at the Hotel Drouot (an auction house in Paris, France) and acquired by an unknown party; purchased by MAI from Gimbels (Gimbel Brothers), a New York City department store, in 1941.",https://ids.si.edu/ids/deliveryService?&id=https://americanindian.si.edu/webmultimedia/85/000/203670-000.700x700.jpg
Wampum belt,Lenape (Delaware)  ,Loom beadwork,Ceremonial/Ritual items,Pennsylvania; USA (inferred),"Presented by the Lenape to William Penn (1644-1718), the founder of Pennsylvania, as part of a land sale or treaty in the 1680s; taken or sent to England and kept as property of the Penn family at Pennsylvania Castle, their estate in Portland, England; acquired by John Merrick Head (ca. 1843-1915) in 1887 when he purchased Pennsylvania Castle and its contents; sold at an auction of Penn items from Merrick's estate in July 1916 by Christie, Manson & Woods of London; purchased from the buyer at that sale by William Ockleford Oldman (1879-1949, who did business as W.O. Oldman, Ethnographical Specimens, London), who was acting for MAI, in 1916 using funds donated by MAI trustee Harmon W. Hendricks (1846-1928).",https://ids.si.edu/ids/deliveryService?&id=https://americanindian.si.edu/webmultimedia/10234/347/053151_000_001_20131018_ps.700x700.jpg
Wampum belt,Lenape (Delaware)  ,"Loom beadwork, colored",Ceremonial/Ritual items,Pennsylvania; USA (inferred),"Presented by the Lenape to William Penn (1644-1718), the founder of Pennsylvania, as part of a land sale or treaty in the 1680s; taken or sent to England and kept as property of the Penn family at Pennsylvania Castle, their estate in Portland, England; acquired by John Merrick Head (ca. 1843-1915) in 1887 when he purchased Pennsylvania Castle and its contents; sold at an auction of Penn items from Merrick's estate in July 1916 by Christie, Manson & Woods of London; purchased from the buyer at that sale by William Ockleford Oldman (1879-1949, who did business as W.O. Oldman, Ethnographical Specimens, London), who was acting for MAI, in 1916 using funds donated by MAI trustee Harmon W. Hendricks (1846-1928).",https://ids.si.edu/ids/deliveryService?&id=https://americanindian.si.edu/webmultimedia/10234/360/053150_000_001_20131018_ps.700x700.jpg
title,culture/people,media/materials,object type,place,collection history,image
Robe,Oglala Lakota (Oglala Sioux)  ,Painted,Clothing/Garments: Outerwear (flat),"Pine Ridge, Pine Ridge Reservation; Oglala Lakota County; South Dakota; USA","Formerly owned by Chief Young-Man-Afraid-of-His-Horses; acquired from him in 1880 by John W. Alder (1844-1919), an Indian agent at Pine Ridge between 1879 and 1885; purchased by George Heye/MAI from John Alder or his son Eugene C. Alder (1876-1955) circa 1920.",https://ids.si.edu/ids/deliveryService?&id=https://americanindian.si.edu/webmultimedia/10163/384/T000522A.700x700.jpg
Moccasins,Caddo  ,Sewn,Clothing/Garments: Footwear,Oklahoma; USA,"Collected from David Shemamy (Ci-mi-mi, Caddo) in 1909 by anthropologist Mark Raymond Harrington (1882-1971, MAI staff member) during fieldwork sponsored by George Heye.",https://ids.si.edu/ids/deliveryService?&id=https://americanindian.si.edu/webmultimedia/4065/898/014.700x700.jpg
Boy's leggings,Sac and Fox (Sauk & Fox)  ,"Sewn, ribbonwork appliqué, overlay beadwork",Clothing/Garments,Oklahoma; USA,"Collected from Mrs. Richard Duncan (Sac and Fox) in 1909 by anthropologist Mark Raymond Harrington (1882-1971, MAI staff member), assisted by Chief William M. Skye (Peoria, 1868-1923) and Hope M. Fulbright (1879-1949), during fieldwork sponsored by George Heye.",https://ids.si.edu/ids/deliveryService?&id=https://americanindian.si.edu/webmultimedia/4130/122/024.700x700.jpg
Sash/Belt,"Absentee Shawnee [Shawnee, Oklahoma-Pottawatomie County]  ","Sewn, overlay beadwork, braided",Clothing/Garments: Accessories,Oklahoma; USA,"Collected from Nancy Wilson (Absentee Shawnee) in 1909 by anthropologist Mark Raymond Harrington (1882-1971, MAI staff member), assisted by Chief William M. Skye (Peoria, 1868-1923) and Hope M. Fulbright (1879-1949), during fieldwork sponsored by George Heye.",https://ids.si.edu/ids/deliveryService?&id=https://americanindian.si.edu/webmultimedia/10092/559/DSC00001.700x700.jpg
Moccasins,Sioux  ,Lazy/lane stitch beadwork,Clothing/Garments: Footwear,South Dakota; USA,"Collection history unknown; part of the collection of anthropologist Mark Raymond Harrington (1882-1971, MAI staff member) before 1915; inherited by his widow, Marie Walsh Harrington (1907-1986); purchased by MAI from Marie Harrington in 1981.",https://ids.si.edu/ids/deliveryService?&id=https://americanindian.si.edu/webmultimedia/4071/289/053.700x700.jpg
Child's moccasins,Sioux  ,Lazy/lane stitch beadwork,Clothing/Garments: Footwear,South Dakota; USA,"Collection history unknown; part of the collection of anthropologist Mark Raymond Harrington (1882-1971, MAI staff member) before 1915; inherited by his widow, Marie Walsh Harrington (1907-1986); purchased by MAI from Marie Harrington in 1981.",https://ids.si.edu/ids/deliveryService?&id=https://americanindian.si.edu/webmultimedia/4071/420/007.700x700.jpg
Moccasins,Caddo  ,"Sewn, overlay beadwork, edge beaded",Clothing/Garments: Footwear,Oklahoma; USA,"Collected from David Shemamy (Ci-mi-mi, Caddo) in 1909 by anthropologist Mark Raymond Harrington (1882-1971, MAI staff member) during fieldwork sponsored by George Heye.",https://ids.si.edu/ids/deliveryService?&id=https://americanindian.si.edu/webmultimedia/4066/176/006.700x700.jpg
Moccasins,Dakota (Eastern Sioux)  ,"Overlay beadwork , painted",Clothing/Garments: Footwear,Eastern Plains; USA (inferred),"Possibly collected by Guy Roosevelt Beardslee (1856-1939) in 1880 when he was stationed in Nebraska with the US Army Infantry and given by Guy Beardslee to anthropologist Mark Raymond Harrington (1882-1971, MAI staff member) in 1914; inherited by his widow, Marie Walsh Harrington (1907-1986); purchased by MAI from Marie Harrington in 1981.",https://ids.si.edu/ids/deliveryService?&id=https://americanindian.si.edu/webmultimedia/4092/263/044.700x700.jpg
Roach,Wichita  ,"Dyed, wrapped",Clothing/Garments: Headwear and Headdresses,Oklahoma; USA,"Formerly owned by Stanley Punley (Wichita); purchased by anthropologist Mark Raymond Harrington (1882-1971, MAI staff member) in 1909 from the Oklahoma Indian Store (Anadarko, Oklahoma), operated by Jake Tingley (1880-1965), during fieldwork sponsored by George Heye.",https://ids.si.edu/ids/deliveryService?&id=https://americanindian.si.edu/webmultimedia/4083/072/001.700x700.jpg
Child's moccasins,Sioux  ,"Quilled (lane stitched), sewn",Clothing/Garments: Footwear,South Dakota; USA,"Collection history unknown; part of the collection of anthropologist Mark Raymond Harrington (1882-1971, MAI staff member) before 1915; inherited by his widow, Marie Walsh Harrington (1907-1986); purchased by MAI from Marie Harrington in 1981.",https://ids.si.edu/ids/deliveryService?&id=https://americanindian.si.edu/webmultimedia/4071/327/091.700x700.jpg
Sash/Belt,Anishinaabe (Chippewa/Ojibwa)  ,"Overlay beadwork, sewn",Clothing/Garments: Accessories,Wisconsin; USA,"Collection history unknown; part of the collection of anthropologist Mark Raymond Harrington (1882-1971, MAI staff member) before 1915; inherited by his widow, Marie Walsh Harrington (1907-1986); purchased by MAI from Marie Harrington in 1981.",https://ids.si.edu/ids/deliveryService?&id=https://americanindian.si.edu/webmultimedia/10104/536/031.700x700.jpg
Moccasins,Caddo  ,"Sewn, lazy/lane stitch beadwork, overlay beadwork",Clothing/Garments: Footwear,Oklahoma; USA,"Collected from David Shemamy (Ci-mi-mi, Caddo) in 1909 by anthropologist Mark Raymond Harrington (1882-1971, MAI staff member) during fieldwork sponsored by George Heye.",https://ids.si.edu/ids/deliveryService?&id=https://americanindian.si.edu/webmultimedia/4065/893/009.700x700.jpg
Man's leggings,Oklahoma Shawnee  ,"Fringed, tied",Clothing/Garments,Oklahoma; USA (inferred),"Collected by anthropologist Mark Raymond Harrington (1882-1971, MAI staff member) before 1915; inherited by his widow, Marie Walsh Harrington (1907-1986); purchased by MAI from Marie Harrington in 1981.",https://ids.si.edu/ids/deliveryService?&id=https://americanindian.si.edu/webmultimedia/10092/652/DSC00015.700x700.jpg
Moccasins,Oklahoma Shawnee  ,"Ribbonwork appliqué, overlay beadwork",Clothing/Garments: Footwear,Oklahoma; USA,"Collected from Sam Warrior (Oklahoma Shawnee) in 1909 by anthropologist Mark Raymond Harrington (1882-1971, MAI staff member), assisted by Chief William M. Skye (Peoria, 1868-1923) and Hope M. Fulbright (1879-1949), during fieldwork sponsored by George Heye.",https://ids.si.edu/ids/deliveryService?&id=https://americanindian.si.edu/webmultimedia/10092/365/DSC00015.700x700.jpg
Sash/Belt,"Potawatomi [Prairie Band, Kansas]  ","Loom beadwork, braided",Clothing/Garments: Accessories,Kansas; USA,"Collected from Wa-ni's (Prairie Band Potawatomi) in 1910 by anthropologist Mark Raymond Harrington (1882-1971, MAI staff member), assisted by Chief William M. Skye (Peoria, 1868-1923) and expedition interpreter Leo Walker (Sac and Fox), during fieldwork sponsored by George Heye.",https://ids.si.edu/ids/deliveryService?&id=https://americanindian.si.edu/webmultimedia/4133/339/036.700x700.jpg
Moccasins,Plains Apache (Kiowa Apache)  ,"Stitched, painted, lazy/lane stitch beadwork , fringed",Clothing/Garments: Footwear,Oklahoma; USA,"Collected from KLe-net (Plains Apache) in 1909 by anthropologist Mark Raymond Harrington (1882-1971, MAI staff member) during fieldwork sponsored by George Heye.",https://ids.si.edu/ids/deliveryService?&id=https://americanindian.si.edu/webmultimedia/10092/889/DSC00006.700x700.jpg
Sash/Belt,"Absentee Shawnee [Shawnee, Oklahoma-Pottawatomie County]  ","Sewn, overlay beadwork",Clothing/Garments: Accessories,Oklahoma; USA,"Collected from Nancy Wilson (Absentee Shawnee) in 1909 by anthropologist Mark Raymond Harrington (1882-1971, MAI staff member), assisted by Chief William M. Skye (Peoria, 1868-1923) and Hope M. Fulbright (1879-1949), during fieldwork sponsored by George Heye.",https://ids.si.edu/ids/deliveryService?&id=https://americanindian.si.edu/webmultimedia/10095/470/DSC00018.700x700.jpg
Woman's robe,Caddo  ,"Incised, sewn",Clothing/Garments: Outerwear (flat),Oklahoma; USA,"Collected from David Shemamy (Ci-mi-mi, Caddo) in 1909 by anthropologist Mark Raymond Harrington (1882-1971, MAI staff member) during fieldwork sponsored by George Heye.",https://ids.si.edu/ids/deliveryService?&id=https://americanindian.si.edu/webmultimedia/4066/149/019.700x700.jpg
Moccasins,Caddo  ,"Sewn, lazy/lane stitch beadwork, overlay beadwork",Clothing/Garments: Footwear,Oklahoma; USA,"Collected from David Shemamy (Ci-mi-mi, Caddo) in 1909 by anthropologist Mark Raymond Harrington (1882-1971, MAI staff member) during fieldwork sponsored by George Heye.",https://ids.si.edu/ids/deliveryService?&id=https://americanindian.si.edu/webmultimedia/4065/900/016.700x700.jpg
Moccasins,Oklahoma Delaware  ,"Sewn, overlay beadwork, edge beaded",Clothing/Garments: Footwear,Oklahoma; USA,"Collected from Jennie Bobb (Oklahoma Delaware) in 1909 by anthropologist Mark Raymond Harrington (1882-1971, MAI staff member) during fieldwork sponsored by George Heye.",https://ids.si.edu/ids/deliveryService?&id=https://americanindian.si.edu/webmultimedia/4066/761/015.700x700.jpg
title,culture/people,media/materials,object type,place,collection history,image
title,culture/people,media/materials,object type,place,collection history,image
Powder horn and powder measure,Penobscot  ,"Cut, carved, tied",Firearms and accessories,Old Town; Penobscot County; Maine; USA,"Collected by William C. Orchard (1860-1948, MAI staff member), probably in 1909 during fieldwork for the American Museum of Natural History; given or transferred to Major Kenneth C. Miller (1901-1974), who had a long association with MAI, and his wife Dorothea Miller; donated to MAI by Kenneth C. Miller and Dorothea Miller in 1973.",https://ids.si.edu/ids/deliveryService?&id=https://americanindian.si.edu/webmultimedia/4112/663/024.700x700.jpg
Powder measure,Mississippi Choctaw  ,Cut,Firearms and accessories,Neshoba County and Scott County; Mississippi; USA,"Collected from Henry Martis Tubby (Mississippi Choctaw) in 1908 by anthropologist Mark Raymond Harrington (1882-1971, MAI staff member) during fieldwork sponsored by George Heye.",https://ids.si.edu/ids/deliveryService?&id=https://americanindian.si.edu/webmultimedia/4135/300/054.700x700.jpg
Powder flask/container with bandolier strap,possibly Apache (attributed)  ,"Lazy/lane stitch beadwork, painted",Firearms and accessories,Southwest; USA (inferred),"Collection history unknown; acquired by William Ockleford Oldman (1879-1949, who did business as W.O. Oldman, Ethnographical Specimens, London) circa 1910; purchased by George Heye from W.O. Oldman in 1911.",https://ids.si.edu/ids/deliveryService?&id=https://americanindian.si.edu/webmultimedia/4046/366/054.700x700.jpg
Bullet mold,Inupiaq (Alaskan Inupiat Eskimo) [Nuwukmiut/Point Barrow]  ,Perforated,Firearms and accessories,Point Barrow; Arctic Slope Native Corporation; Alaska; USA,"Collection history unknown; purchased by George Heye circa 1905 from M.C. Bruce (possibly Miner Bruce [1850-1919], an Alaskan fur trader and artifact dealer).",https://ids.si.edu/ids/deliveryService?&id=https://americanindian.si.edu/webmultimedia/4099/860/059.700x700.jpg
Gun flint,Non-Indian (archaeological); possibly used by the Garifuna  ,Flaked/chipped,Firearms and accessories,Saint Vincent; Saint Vincent and the Grenadines,"Collection history unknown; formerly in the collection of Reverend Thomas Huckerby (1869-1927, a Wesleyan minister and amateur archaeologist working in the Caribbean); inherited by his widow Mildred Darrell Huckerby (b. 1879); purchased by MAI from Mildred Huckerby in 1928.",https://ids.si.edu/ids/deliveryService?&id=https://americanindian.si.edu/webmultimedia/10033/377/008.700x700.none.jpg
"Holster, belt, and knife sheath",Anishinaabe (Chippewa/Ojibwa)  ,Overlay beadwork,Firearms and accessories,"Great Lakes region; Canada, USA (inferred)","Collection history unknown; acquired by William Ockleford Oldman (1879-1949, who did business as W.O. Oldman, Ethnographical Specimens, London) circa 1912; purchased by George Heye from W.O. Oldman in 1913.",https://ids.si.edu/ids/deliveryService?&id=https://americanindian.si.edu/webmultimedia/10105/745/002.700x700.jpg
Powder horn,probably Plains Cree (Prairie Cree) (attributed)  ,Cut,Firearms and accessories,Alberta or Saskatchewan; Canada (inferred),"Collection history unknown; formerly in the collection of the Chichester Museum (Chichester, West Sussex, England) and said to have been acquired by the museum about 1845; acquired by William Ockleford Oldman (1879-1949, who did business as W.O. Oldman, Ethnographical Specimens, London) circa 1912; purchased by George Heye from W.O. Oldman in 1913.",https://ids.si.edu/ids/deliveryService?&id=https://americanindian.si.edu/webmultimedia/4055/754/004.700x700.jpg
Ammunition/cap container (No image available),Swampy Cree  ,Carved,Firearms and accessories,Norway House; Northern Region; Manitoba; Canada,Collection history unknown; purchased by MAI from an unknown source in 1926.,https://ids.si.edu/ids/deliveryService?&id=https://americanindian.si.edu/webmultimedia/131/574/147427.700x700.jpg
Guncase,Deh Gah Got'ine (Slavey)  ,"Quill woven/loomed quillwork, quill-wrapped (flat)",Firearms and accessories,Great Slave Lake; Northwest Territories; Canada (inferred),"Collection history unknown; acquired by William Ockleford Oldman (1879-1949, who did business as W.O. Oldman, Ethnographical Specimens, London) circa 1913; purchased by George Heye from W.O. Oldman in 1913.",https://ids.si.edu/ids/deliveryService?&id=https://americanindian.si.edu/webmultimedia/4014/838/016.700x700.jpg
Ball/Shot,Non-Indian (archaeological); possibly used by the Wappinger  ,Cast,Firearms and accessories,"Schurz Avenue Site; New York City, Bronx, Throgs Neck (Throggs Neck); Bronx County; New York; USA (inferred)","Collected or excavated by William F. Stiles (1912-1980, MAI curator), probably between 1932 and 1937; donated to MAI by William F. Stiles in 1946.",https://ids.si.edu/ids/deliveryService?&id=https://americanindian.si.edu/webmultimedia/4137/847/046.700x700.jpg
Powder measure,possibly Non-Indian (archaeological) (attributed); possibly used by Native people in the Great Lakes region (attributed)  ,Carved,Firearms and accessories,River end of 24th street; 24th Street at Detroit River; Detroit; Wayne County; Michigan; USA,"Collection history unknown; formerly in the collection of Indian art collector David T. Vernon (1900-1973); acquired by MAI in 1968 through an exchange with the Jackson Hole Preserve, Inc. (a foundation backed by the Rockefeller family), which purchased Vernon's entire collection in 1965.",https://ids.si.edu/ids/deliveryService?&id=https://americanindian.si.edu/webmultimedia/4156/873/018.700x700.jpg
Musket part/fragment,Non-Indian (archaeological); probably used by the Innu  ,Cast,Firearms and accessories,Old French trading post site; Mingan; Côte Nord Region; Québec; Canada,"Collected in 1957 by William F. Stiles (1912-1980, MAI curator) during MAI-sponsored fieldwork.",https://ids.si.edu/ids/deliveryService?&id=https://americanindian.si.edu/webmultimedia/4026/659/109.700x700.jpg
Match/lighting stick,Nanticoke  ,Cut,Firearms and accessories,North shore of Indian River Inlet; Indian River Inlet; Indian River Hundred; Sussex County; Delaware; USA,"Collected by anthropologist Frank G. Speck (1881-1950), probably in 1911 or 1912; purchased by George Heye from Frank Speck in 1912.",https://ids.si.edu/ids/deliveryService?&id=https://americanindian.si.edu/webmultimedia/4116/049/022.700x700.jpg
Powder measure,Ute  ,Incised,Firearms and accessories,Colorado or Utah; USA (inferred),"Collected by artist, topographer, and author Frederick S. Dellenbaugh (1854-1935) at an unknown date; presented by Frederick Dellenbaugh to George Heye circa 1912.",https://ids.si.edu/ids/deliveryService?&id=https://americanindian.si.edu/webmultimedia/4140/438/055.700x700.none.jpg
Guncase,Apsáalooke (Crow/Absaroke)  ,Overlay beadwork,Firearms and accessories,Montana; USA,"Collection history unknown; formerly in the collection of Glen McGirr (1884-1978, of Maquon, Illinois); subsequently in the collection of his sister-in-law, Gene B. Whiting (1896-1990), and her husband Percy Hollister Whiting (1880-1967); donated to MAI by Mr. and Mrs. Percy Whiting in 1960.",https://ids.si.edu/ids/deliveryService?&id=https://americanindian.si.edu/webmultimedia/4061/739/014.700x700.jpg
Guncase,Pikuni Blackfeet (Piegan)  ,"Sewn, lazy/lane stitch beadwork, edge beaded, fringed",Firearms and accessories,Montana; USA,"Formerly in the collection of Christian F. Schuster (1868-1957, a collector and amateur archaeologist in Holyoke, Massachusetts) and possibly collected by him when he lived with the Blackfeet in the 1920s; purchased by MAI from Christian Schuster in 1953.",https://ids.si.edu/ids/deliveryService?&id=https://americanindian.si.edu/webmultimedia/10101/310/DSC00003.700x700.jpg
Gun flint,Non-Indian (archaeological)  ,Flaked/chipped,Firearms and accessories,"Inwood Hill Park; New York City, Manhattan, Inwood; New York County; New York; USA","Collected by Raymond H. Seadale (1902-1977, of New York City) at an unknown date; donated to MAI by Raymond Seadale in 1964.",https://ids.si.edu/ids/deliveryService?&id=https://americanindian.si.edu/webmultimedia/4134/538/050.700x700.jpg
Musket Ball/Shot,Non-Indian (archaeological)  ,Cast,Firearms and accessories,"Van Cortlandt Park; New York City, Bronx; Bronx County; New York; USA","Collection history unknown; formerly in the collection of Harry Trowbridge (1915-1998, an amateur archaeologist who worked in the New York City area); lent to MAI by Harry Trowbridge in 1947 and never reclaimed.",https://ids.si.edu/ids/deliveryService?&id=https://americanindian.si.edu/webmultimedia/4137/624/020.700x700.jpg
Gun flint,Non-Indian (archaeological)  ,Flaked/chipped,Firearms and accessories,"Van Cortlandt Park; New York City, Bronx; Bronx County; New York; USA","Collection history unknown; formerly in the collection of Harry Trowbridge (1915-1998, an amateur archaeologist who worked in the New York City area); lent to MAI by Harry Trowbridge in 1947 and never reclaimed.",https://ids.si.edu/ids/deliveryService?&id=https://americanindian.si.edu/webmultimedia/4137/622/018.700x700.jpg
Musket Ball/Shot,Non-Indian (archaeological)  ,Cast,Firearms and accessories,"Inwood Hill Park; New York City, Manhattan, Inwood; New York County; New York; USA","Collection history unknown; formerly in the collection of Harry Trowbridge (1915-1998, an amateur archaeologist who worked in the New York City area); lent to MAI by Harry Trowbridge in 1947 and never reclaimed.",https://ids.si.edu/ids/deliveryService?&id=https://americanindian.si.edu/webmultimedia/4134/567/079.700x700.jpg
title,culture/people,media/materials,object type,place,collection history,image
Mortar,Potawatomi [Oklahoma]  ,Carved,Food Gathering and Preparation,Oklahoma; USA,"Collected from Mrs. Whipple (Oklahoma Potawatomi) in 1909 by anthropologist Mark Raymond Harrington (1882-1971, MAI staff member), assisted by Chief William M. Skye (Peoria, 1868-1923) and Hope M. Fulbright (1879-1949), during fieldwork sponsored by George Heye.",https://ids.si.edu/ids/deliveryService?&id=https://americanindian.si.edu/webmultimedia/4130/254/011.700x700.jpg
Spoon,Chickasaw  ,"Carved, engraved",Food/Beverage Serving,Oklahoma; USA,"Items in this set were collected from several Oklahoma Chickasaw individuals (Jim Wolf, Johnson Ellis, Gibson Kellar, and Dave Brown) in 1910 by anthropologist Mark Raymond Harrington (1882-1971, MAI staff member), assisted by Chief William M. Skye (Peoria, 1868-1923), during fieldwork sponsored by George Heye.",https://ids.si.edu/ids/deliveryService?&id=https://americanindian.si.edu/webmultimedia/4135/271/025.700x700.jpg
Mortar,Oklahoma Shawnee  ,Carved,Food Gathering and Preparation,Oklahoma; USA,"Collected from Jenny Sloan (Oklahoma Shawnee) in 1909 by anthropologist Mark Raymond Harrington (1882-1971, MAI staff member), assisted by Chief William M. Skye (Peoria, 1868-1923) and Hope M. Fulbright (1879-1949), during fieldwork sponsored by George Heye.",https://ids.si.edu/ids/deliveryService?&id=https://americanindian.si.edu/webmultimedia/10091/667/DSC00003.700x700.jpg
Basket strainer,Caddo  ,Plaited,Food Gathering and Preparation,Oklahoma; USA,"Collected from David Shemamy (Ci-mi-mi, Caddo) in 1909 by anthropologist Mark Raymond Harrington (1882-1971, MAI staff member) during fieldwork sponsored by George Heye.",https://ids.si.edu/ids/deliveryService?&id=https://americanindian.si.edu/webmultimedia/4066/458/001.700x700.jpg
Basket sieve/sifter,Coushatta (Koasati)  ,Plaited,Food Gathering and Preparation,Oklahoma; USA,"Collected from Ha-la-ko-tci (Coushatta) in 1909 by anthropologist Mark Raymond Harrington (1882-1971, MAI staff member), assisted by Chief William M. Skye (Peoria, 1868-1923) and Hope M. Fulbright (1879-1949), during fieldwork sponsored by George Heye.",https://ids.si.edu/ids/deliveryService?&id=https://americanindian.si.edu/webmultimedia/4139/878/042.700x700.jpg
Stirring paddle,Chickasaw  ,Carved,Food Gathering and Preparation,Oklahoma; USA,"Collected from Lou Brown (Oklahoma Chickasaw) and Old Lady Brown (Oklahoma Chickasaw) in 1910 by anthropologist Mark Raymond Harrington (1882-1971, MAI staff member), assisted by Chief William M. Skye (Peoria, 1868-1923), during fieldwork sponsored by George Heye.",https://ids.si.edu/ids/deliveryService?&id=https://americanindian.si.edu/webmultimedia/4135/137/042.700x700.jpg
Spoon,Caddo  ,Carved,Food/Beverage Serving,Oklahoma; USA,"Items in this set were collected from several Caddo individuals (J. Squirrel, David Shemamy, Jo-o'i, Alfred Taylor, and Jenny Douglas) and Ka-ki (Kiowa) in 1909 by anthropologist Mark Raymond Harrington (1882-1971, MAI staff member) during fieldwork sponsored by George Heye.",https://ids.si.edu/ids/deliveryService?&id=https://americanindian.si.edu/webmultimedia/4066/183/013.700x700.jpg
Pestle,Oklahoma Shawnee  ,Carved,Food Gathering and Preparation,Oklahoma; USA,"Collected from Jenny Sloan (Oklahoma Shawnee) in 1909 by anthropologist Mark Raymond Harrington (1882-1971, MAI staff member), assisted by Chief William M. Skye (Peoria, 1868-1923) and Hope M. Fulbright (1879-1949), during fieldwork sponsored by George Heye.",https://ids.si.edu/ids/deliveryService?&id=https://americanindian.si.edu/webmultimedia/10091/649/DSC00003.700x700.jpg
Spoon,Chickasaw  ,Carved,Food/Beverage Serving,Oklahoma; USA,"Collected from Jim Wolf (Oklahoma Chickasaw) and an unnamed Chickasaw in 1910 by anthropologist Mark Raymond Harrington (1882-1971, MAI staff member), assisted by Chief William M. Skye (Peoria, 1868-1923), during fieldwork sponsored by George Heye.",https://ids.si.edu/ids/deliveryService?&id=https://americanindian.si.edu/webmultimedia/4135/276/030.700x700.jpg
Spoon/Ladle,Caddo  ,Carved,Food/Beverage Serving,Oklahoma; USA,"Collected from David Shemamy (Ci-mi-mi, Caddo) and Jenny Douglas (Caddo) in 1909 by anthropologist Mark Raymond Harrington (1882-1971, MAI staff member) during fieldwork sponsored by George Heye.",https://ids.si.edu/ids/deliveryService?&id=https://americanindian.si.edu/webmultimedia/4066/187/017.700x700.jpg
Spoon,Meskwaki (Fox)  ,Carved,Food/Beverage Serving,Iowa; USA,"Items in this set were collected from several Meskwaki individuals (A-nu'-tha-hakw', Pe'-mi'-ka-wi'-kw, Ne'-ka-pa, and Janie) in 1910 by anthropologist Mark Raymond Harrington (1882-1971, MAI staff member) during fieldwork sponsored by George Heye.",https://ids.si.edu/ids/deliveryService?&id=https://americanindian.si.edu/webmultimedia/4126/158/018.700x700.jpg
Spoon (unfinished),Chickasaw  ,Carved,Food/Beverage Serving,Oklahoma; USA,"Collected from Gibson Kellar (Oklahoma Chickasaw) in 1910 by anthropologist Mark Raymond Harrington (1882-1971, MAI staff member), assisted by Chief William M. Skye (Peoria, 1868-1923), during fieldwork sponsored by George Heye.",https://ids.si.edu/ids/deliveryService?&id=https://americanindian.si.edu/webmultimedia/4135/263/017.700x700.jpg
Spoon,Chickasaw  ,Carved,Food/Beverage Serving,Oklahoma; USA,"Items in thsi set were collected from several Oklahoma Chickasaw individuals (Jim Wolf, Lou Brown. Old Lady Brown, Gibson Kellar, and John Brown) in 1910 by anthropologist Mark Raymond Harrington (1882-1971, MAI staff member), assisted by Chief William M. Skye (Peoria, 1868-1923), during fieldwork sponsored by George Heye.",https://ids.si.edu/ids/deliveryService?&id=https://americanindian.si.edu/webmultimedia/4135/274/028.700x700.jpg
Mortar,probably Casas Grandes Tradition (archaeological culture) (attributed)  ,Ground,Food Gathering and Preparation,Paquimé region; Paquimé (Casas Grandes); Casas Grandes Municipality; Chihuahua State; Mexico,"Collection history unknown; formerly in the collection of William M. Fitzhugh (1853-1929, a San Francisco collector); purchased by MAI from the estate of William M. Fitzhugh in 1936.",https://ids.si.edu/ids/deliveryService?&id=https://americanindian.si.edu/webmultimedia/4084/370/047.700x700.jpg
Mortar,possibly Multiple archaeological cultures (attributed); including Saladoid and Troumassan Troumassoid Traditions and Cayo Complex  ,Ground,Food Gathering and Preparation,Saint Vincent; Saint Vincent and the Grenadines,"Collected or purchased from local residents in 1913 by Reverend Thomas Huckerby (1869-1927, a Wesleyan minister and amateur archaeologist working in the Caribbean) during a collecting trip sponsored by George Heye.",https://ids.si.edu/ids/deliveryService?&id=https://americanindian.si.edu/webmultimedia/10027/730/143.700x700.none.jpg
Mano/Grinding stone,probably Casas Grandes Tradition (archaeological culture) (attributed)  ,Ground,Food Gathering and Preparation,Paquimé region; Paquimé (Casas Grandes); Casas Grandes Municipality; Chihuahua State; Mexico,"Collection history unknown; formerly in the collection of William M. Fitzhugh (1853-1929, a San Francisco collector); purchased by MAI from the estate of William M. Fitzhugh in 1936.",https://ids.si.edu/ids/deliveryService?&id=https://americanindian.si.edu/webmultimedia/4084/406/083.700x700.jpg
Pestle,probably Ostionoid Tradition (archaeological culture) (attributed)  ,"Pecked, ground, carved",Food Gathering and Preparation,Near Puerto Plata; Puerto Plata; Puerto Plata Province; Dominican Republic,"Collection history unknown; formerly in the collection of Edward Hall (1852-1914, manager of the Central Dominican Railroad from 1892 to 1910); donated to MAI by Edward Hall's estate in 1940.",https://ids.si.edu/ids/deliveryService?&id=https://americanindian.si.edu/webmultimedia/80/705/202251.700x700.jpg
Mano/Grinding stone fragment,probably Casas Grandes Tradition (archaeological culture) (attributed)  ,Ground,Food Gathering and Preparation,Paquimé region; Paquimé (Casas Grandes); Casas Grandes Municipality; Chihuahua State; Mexico,"Collection history unknown; formerly in the collection of William M. Fitzhugh (1853-1929, a San Francisco collector); purchased by MAI from the estate of William M. Fitzhugh in 1936.",https://ids.si.edu/ids/deliveryService?&id=https://americanindian.si.edu/webmultimedia/4155/173/099.700x700.jpg
